place,title,time,pay,date
서울 관악구, 호식이두마리치킨 대학점,18:00~23:00,"시급8,590",3시간전
서울 은평구, 호식이두마리치킨 북가좌1호점,12:00~24:00,"월급2,600,000",6시간전
경기 안산시, 호식이두마리치킨 고잔1호점,18:00~22:00,"시급8,590",6시간전
대전 대덕구, 호식이두마리치킨 신탄진점,17:00~23:00,"시급9,000",7시간전
전북 전주시, 호식이두마리치킨 전주혁신도시점,18:00~00:00,"시급8,590",04/19
경기 평택시, 포승점,18:00~20:00,"시급9,000",04/17
서울 은평구, 호식이두마리치킨 북가좌1호점,12:00~24:00,"월급2,600,000",04/16
서울 송파구, 호식이두마리치킨 송파위례점,17:00~22:00,"시급9,000",04/15
서울 은평구, 호식이두마리치킨 북가좌1호점,12:00~24:00,"월급2,600,000",04/15
경기 남양주, 호식이두마리치킨 진접금곡점,18:00~23:00,"시급8,600",04/14
부산 남구, 호식이두마리치킨 용호점,18:00~22:00,"시급8,590",04/11
경기 성남시, 호식이두마리치킨 정자점(분당),18:00~23:00,"시급8,600",04/09
경기 평택시, 호식이두마리치킨 평택1호점,17:00~23:00,"시급10,000",04/08
인천 서구, 호식이두마리치킨 인천연희점,18:00~23:00,"시급8,590",04/04
