place,title,time,pay,date
경기 고양시, 호치킨 일산후곡마을점,18:00~24:00,"시급8,600",1시간전
경기 김포시, 호치킨 김포구래점,18:00~01:00,"시급9,000",2시간전
경기 김포시, 호치킨 김포구래점,18:00~01:00,"시급9,000",2시간전
경기 김포시, 호치킨 김포구래점,18:00~01:00,"시급9,000",2시간전
경기 김포시, 호치킨 김포구래점,18:00~01:00,"시급9,000",2시간전
서울 양천구, 호치킨 신정이펜하우스점,19:00~11:00,"시급9,000",3시간전
인천 서구, 호치킨 인천 원당점,19:00~00:00,"시급9,000",5시간전
인천 서구, 호치킨 인천 원당점,19:00~00:00,"시급9,000",5시간전
인천 서구, 호치킨 인천 원당점,19:00~00:00,"시급9,000",5시간전
인천 서구, 호치킨 인천 원당점,19:00~00:00,"시급9,000",5시간전
인천 서구, 호치킨 인천 원당점,19:00~00:00,"시급9,000",5시간전
서울 동작구, 호치킨 신대방삼거리역1번출구점(현-2,12:00~00:00,"월급2,900,000",8시간전
서울 동작구, 호치킨 신대방삼거리역1번출구점(현-2,12:00~00:00,"월급2,300,000",8시간전
서울 송파구, 호치킨 풍납2동점,15:00~02:30,"월급2,250,000",20시간전
서울 송파구, 호치킨 풍납2동점,15:00~02:30,"월급2,700,000",04/19
서울 송파구, 호치킨 풍납2동점,15:00~02:30,"월급2,700,000",04/18
서울 송파구, 호치킨 풍납2동점,15:00~02:30,"월급2,250,000",04/17
서울 동작구, 호치킨 남성역점,18:00~01:00,"시급8,700",04/16
서울 동작구, 호치킨 남성역점,18:00~01:00,"시급8,700",04/16
서울 송파구, 호치킨 풍납2동점,15:00~02:30,"월급2,700,000",04/16
서울 양천구, 호치킨 목2동시장점,15:00~01:00,"월급2,500,000",04/15
인천 부평구, 호치킨 산곡점,18:00~24:00,"시급8,600",04/12
인천 부평구, 호치킨 산곡점,18:00~24:00,"시급8,600",04/11
경기 용인시, 호치킨 호치킨 용인죽전점,18:00~24:00,"시급8,600",04/10
경기 용인시, 호치킨 호치킨 용인죽전점,18:00~24:00,"시급8,600",04/10
경기 용인시, 호치킨 용인동천점,18:00~24:00,"시급8,600",04/10
경기 용인시, 호치킨 용인동천점,18:00~24:00,"시급8,600",04/10
서울 양천구, 호치킨 목2동시장점,15:00~01:00,"월급2,500,000",04/07
인천 연수구, 호치킨 송도풍림아이원점,18:00~24:00,"시급10,400",04/05
